"SUID","disease","edgestrength","edgetrend","fdr","interaction","name","random.pvalue","random.r","selected","shared interaction","shared name","target_real"
"701","CD","3","1","1.6451545565575E-14","interacts with","Veillonella_unclassified (interacts with) Veillonella_parvula","3.91703465847023E-17","0.695684647521186","false","interacts with","Veillonella_unclassified (interacts with) Veillonella_parvula","Veillonella_unclassified_Veillonella_parvula"
"700","CD","2","1","2.99542185593036E-6","interacts with","Veillonella_unclassified (interacts with) Veillonella_atypica","1.53337071196435E-7","0.544216146317626","false","interacts with","Veillonella_unclassified (interacts with) Veillonella_atypica","Veillonella_unclassified_Veillonella_atypica"
"699","CD","1","1","0.00251024838816033","interacts with","Veillonella_unclassified (interacts with) Streptococcus_parasanguinis","7.18646712683547E-4","0.374108678164127","false","interacts with","Veillonella_unclassified (interacts with) Streptococcus_parasanguinis","Veillonella_unclassified_Streptococcus_parasanguinis"
"696","CD","3","1","3.30426666487354E-10","interacts with","Veillonella_parvula (interacts with) Veillonella_atypica","4.72038094981934E-12","0.607929641700899","false","interacts with","Veillonella_parvula (interacts with) Veillonella_atypica","Veillonella_parvula_Veillonella_atypica"
"695","CD","1","1","0.00833025981072171","interacts with","Veillonella_parvula (interacts with) Streptococcus_parasanguinis","0.00393703945816252","0.323150391657359","false","interacts with","Veillonella_parvula (interacts with) Streptococcus_parasanguinis","Veillonella_parvula_Streptococcus_parasanguinis"
"693","CD","1","1","0.0110478826495343","interacts with","Veillonella_atypica (interacts with) Streptococcus_parasanguinis","0.00576068166725718","0.310385091611269","false","interacts with","Veillonella_atypica (interacts with) Streptococcus_parasanguinis","Veillonella_atypica_Streptococcus_parasanguinis"
