"SUID","disease","edgestrength","edgetrend","fdr","interaction","name","random.pvalue","random.r","selected","shared interaction","shared name","target_real"
"236","CD","2","1","6.9587220827476E-7","interacts with","Veillonella_parvula (interacts with) Veillonella_atypica","1.76341885137854E-8","0.556293891284824","false","interacts with","Veillonella_parvula (interacts with) Veillonella_atypica","Veillonella_parvula_Veillonella_atypica"
"233","CD","1","1","4.65439526406026E-4","interacts with","Veillonella_parvula (interacts with) Escherichia_coli","5.01025437781666E-5","0.303887220818827","false","interacts with","Veillonella_parvula (interacts with) Escherichia_coli","Veillonella_parvula_Escherichia_coli"
"230","CD","1","1","0.00782010034070758","interacts with","Veillonella_atypica (interacts with) Escherichia_coli","0.00277946386378625","0.227413923417598","false","interacts with","Veillonella_atypica (interacts with) Escherichia_coli","Veillonella_atypica_Escherichia_coli"
