"SUID","disease","edgestrength","edgetrend","fdr","interaction","name","random.pvalue","random.r","selected","shared interaction","shared name","target_real"
"122","CD","1","1","7.0385673573693E-4","interacts with","Bacteroidales_bacterium_ph8 (interacts with) Alistipes_shahii","9.05883375208164E-5","0.31821625629318","false","interacts with","Bacteroidales_bacterium_ph8 (interacts with) Alistipes_shahii","Bacteroidales_bacterium_ph8_Alistipes_shahii"
"121","CD","1","1","0.00505730712379673","interacts with","Bacteroidales_bacterium_ph8 (interacts with) Alistipes_putredinis","0.00147217257404869","0.264284678727389","false","interacts with","Bacteroidales_bacterium_ph8 (interacts with) Alistipes_putredinis","Bacteroidales_bacterium_ph8_Alistipes_putredinis"
"119","CD","2","1","1.94737413861113E-9","interacts with","Alistipes_shahii (interacts with) Alistipes_putredinis","1.81366878839677E-11","0.461255860695806","false","interacts with","Alistipes_shahii (interacts with) Alistipes_putredinis","Alistipes_shahii_Alistipes_putredinis"
"118","CD","2","1","5.95307540473509E-4","interacts with","Alistipes_shahii (interacts with) Alistipes_finegoldii","7.19475000182408E-5","0.528273546774951","false","interacts with","Alistipes_shahii (interacts with) Alistipes_finegoldii","Alistipes_shahii_Alistipes_finegoldii"
"116","CD","2","1","0.00345879992169533","interacts with","Alistipes_putredinis (interacts with) Alistipes_finegoldii","8.62265260964117E-4","0.474235318926278","false","interacts with","Alistipes_putredinis (interacts with) Alistipes_finegoldii","Alistipes_putredinis_Alistipes_finegoldii"
