"SUID","disease","edgestrength","edgetrend","fdr","interaction","name","random.pvalue","random.r","selected","shared interaction","shared name","target_real"
"670","CD","2","-1","0.00386119457155144","interacts with","Clostridium_bolteae (interacts with) Alistipes_shahii","0.00134682143983878","-0.453328388343534","false","interacts with","Clostridium_bolteae (interacts with) Alistipes_shahii","Clostridium_bolteae_Alistipes_shahii"
"677","CD","2","1","2.89365383392897E-5","interacts with","Clostridium_symbiosum (interacts with) Clostridium_bolteae","2.17024037544673E-6","0.58600286084313","false","interacts with","Clostridium_symbiosum (interacts with) Clostridium_bolteae","Clostridium_symbiosum_Clostridium_bolteae"
"674","CD","1","-1","3.10143631111003E-4","interacts with","Clostridium_symbiosum (interacts with) Alistipes_shahii","3.72910794550134E-5","-0.39766189208535","false","interacts with","Clostridium_symbiosum (interacts with) Alistipes_shahii","Clostridium_symbiosum_Alistipes_shahii"
