Carbohydrate degradation	Amino Acid Degradation	Carboxylate Degradation	Nucleoside and Nucleotide Degradation	Secondary Metabolite Degradation	Amino Acid Biosynthesis	Aromatic Compound Biosynthesis	Carbohydrate Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Fatty Acid and Lipid Biosynthesis	Nucleoside and Nucleotide Biosynthesis	Secondary Metabolite Biosynthesis	Fermentation	Glycolysis	Generation of Precursor Metabolites and Energy	Inorganic Nutrient Metabolism	Aminoacyl-tRNA Charging	Group
MMRS77018926ST-27-0-0	-3.65993820911192	-3.86214955321411	-4.67763899057672	-3.8606995932173	-9	-3.90132372874488	-3.25223851933409	-4.39583177341299	-3.61064959459657	-4.10673942731183	-3.72961323098297	-3.18282481136096	-5.05818522606316	-4.15869341119883	-4.41438333438326	-4.69708519425515	-3.15084726467594	CRC
MMRS77321055ST-27-0-0	-3.51282470211313	-4.44673707547881	-4.86432212802334	-3.84696559105396	-9	-3.66793317444632	-3.26607663840462	-4.18212856431929	-3.60509882295779	-4.45822421474229	-3.85078512078695	-3.28062644595371	-4.20660141852832	-3.60117019684109	-5.00817350736627	-4.24385367621626	-3.39723702087785	CRC
MMRS77487595ST-27-0-0	-3.76463693569134	-4.29104116612116	-4.35305060901352	-3.80215443473772	-9	-3.71202182227869	-3.25123340184004	-4.1427169212307	-3.69043246002913	-4.00314395482937	-3.84930304548697	-3.25082120640803	-3.95673604749908	-3.82176166769392	-4.28717080790281	-4.73502739481967	-3.27290383816982	CRC
MMRS78791111ST-27-0-0	-3.50701414956632	-4.4064237332337	-4.57426051575246	-3.90306603567977	-9	-3.69097193737084	-3.14769296884628	-4.43878357380366	-3.58847473689622	-4.40376694256464	-3.84467048372824	-3.13734217885948	-5.1483235974702	-4.42578868311233	-4.32546515222184	-4.75623076880412	-3.30633371587845	CRC
MMRS80093644ST-27-0-0	-3.79902743685079	-4.50584187176408	-4.28984161764519	-3.89897523387473	-9	-3.65739568322507	-3.40864470539503	-4.09733459618969	-3.74133262292283	-4.05446165643665	-3.91366303871691	-3.45760410227366	-3.98818031635517	-3.84160386074013	-4.33238609585928	-4.81961343646549	-3.47323439271104	CRC
MMRS81194191ST-27-0-0	-3.6627871510865	-3.92021714273922	-4.37406314431118	-3.90731853771911	-9	-3.81836377657382	-3.36784881079361	-4.1319348695769	-3.58478863036188	-3.90383541740778	-3.61873936927887	-3.23265412525452	-4.14105199786039	-3.81933748152644	-4.1019016795905	-4.94108946082488	-3.40119089664212	CRC
MMRS81671217ST-27-0-0	-3.58431103248732	-4.45569328480096	-4.55599265254365	-3.55787061030617	-9	-3.74372044423555	-3.17432552115847	-4.46652472367183	-3.64301473337444	-4.27859871651413	-3.91459825590984	-3.19936745244559	-4.21491794294625	-4.51374010971864	-4.67796318126422	-5.04294474530714	-3.30356672086158	CRC
MMRS84954772ST-27-0-0	-3.66705560261413	-4.46405465266162	-4.70658183801577	-4.06376007145547	-9	-3.77009854247411	-3.36060926870863	-4.09050468882801	-3.67569772375241	-4.07218152430735	-3.73490216567495	-3.30152798254126	-4.33526085853391	-3.94154846657126	-4.13875033839638	-4.82142521046085	-3.40249458519006	CRC
MMRS85382779ST-27-0-0	-3.59854746039314	-4.31441567058795	-4.34812844186928	-3.79413690828431	-9	-3.67714522513576	-3.3027933392661	-4.03530215691108	-3.62264533571993	-3.84811840715592	-3.81140572137098	-3.28457916848971	-3.97139672193053	-3.96669160624566	-4.27556674779389	-4.65985239940439	-3.40240572249444	CRC
MMRS86178473ST-27-0-0	-3.73118689804565	-4.67241442381107	-5.0435504330332	-3.95450956398829	-9	-3.66332188523714	-3.27774224728365	-4.47587426737384	-3.64479002358197	-4.59045482870108	-3.69722163231095	-3.24225712971135	-4.22561847548555	-4.69826201590255	-4.97790175722752	-5.12939299891894	-3.34607197261818	CRC
MMRS86958796ST-27-0-0	-3.6654916183736	-4.78276347658224	-4.75220648203628	-3.75079626117955	-9	-3.69159602391462	-3.2662069937767	-4.54641219461818	-3.57399929235333	-4.13943545726153	-3.70904110186981	-3.27645567197845	-4.0228133949907	-3.92783675037638	-4.19606679850933	-4.63294418136378	-3.43338811790172	CRC
MMRS90191266ST-27-0-0	-3.58974544631054	-4.17987710120873	-4.68726095259514	-3.93715266307165	-9	-3.60842887647823	-3.27855459303512	-4.30034133478522	-3.61210132028989	-3.84792804248583	-3.79432964996582	-3.24750672430563	-4.22003530085256	-4.27059449772489	-4.2911095224359	-4.5093383665504	-3.2916003476689	CRC
MMRS92544445ST-27-0-0	-3.87268201221941	-4.40737884071468	-4.4224571021062	-4.03091002363974	-9	-3.9423636495645	-3.47635050440581	-3.94211130651879	-3.61901290858724	-3.72859341277754	-3.7504980096963	-3.31695476381668	-4.01614641629098	-3.66549724442794	-4.14469069787573	-5.0082639028245	-3.5330523463995	CRC
MMRS93508324ST-27-0-0	-3.55312867768127	-4.26919170963532	-4.60386257781858	-3.65897564569367	-9	-3.64513467651626	-3.23140753866987	-4.23807348287584	-3.59594517753527	-3.75411916412096	-3.72669557015894	-3.19347679760597	-4.05508859378872	-4.25078578411577	-4.40555797402167	-4.6789635365822	-3.27471250202937	CRC
MMRS96422329ST-27-0-0	-3.68919118922215	-4.42295723056789	-4.40651058024435	-3.93089491610686	-9	-3.70928271958874	-3.29782238161533	-4.06221270136257	-3.57549133644464	-4.208693656797	-3.75570117584487	-3.24676405580243	-3.98116012864109	-4.09401235944558	-4.56972922636083	-4.53213907568066	-3.25729057583221	CRC
MMRS97052561ST-27-0-0	-3.76739441277776	-4.1441398749099	-3.96047128848999	-3.62026080260687	-9	-3.79239486970278	-3.30479260390208	-3.86253327898222	-3.50981865683472	-3.9068684728498	-3.90746815135638	-3.27889537781096	-4.14852239446945	-3.7221492715031	-4.3903478985481	-4.53966432409847	-3.3607516410992	CRC
MMRS97327636ST-27-0-0	-3.70867304470314	-4.13438108231589	-4.39622805930717	-3.80992703686424	-9	-3.73157615516329	-3.3673869549153	-3.98554291486176	-3.70598684153055	-4.78146296918815	-3.97228152819944	-3.37115045121986	-4.26268912440137	-3.5670586577248	-4.32655861974263	-5.22280153933735	-3.35201100566249	CRC
MMRS99045180ST-27-0-0	-3.8770140900911	-4.5704252920761	-4.86901498918228	-4.07473382922603	-9	-3.84802747862857	-3.26512684965447	-4.89239633421258	-3.65854962405169	-5.40060649648597	-4.0763486227866	-3.23703725015642	-4.290602899958	-4.71093546931046	-4.67398539054006	-4.13209852793481	-3.37499433925807	CRC
CCMD19168690ST-11-0	-3.73441471297773	-5.04491287789206	-4.57414040483646	-3.8899873421665	-9	-3.8729452178196	-3.42637348830577	-4.42306236171443	-3.58068110482285	-3.86328494399685	-3.80666618141926	-3.31063164039158	-4.55506579393658	-3.74546099173002	-4.39359840526996	-7.11066576173908	-3.50948249797916	CRC
CCMD21593359ST-11-0	-3.71048673852244	-4.0720048911076	-4.3753659494014	-3.84524133568769	-9	-3.85594339537187	-3.31860112486125	-4.3696349780874	-3.50876561669876	-3.78712673960539	-3.8220112795163	-3.26210716482886	-3.95111689069266	-3.54765528166634	-4.05861506948115	-5.38855187401238	-3.4026196820172	CRC
CCMD21703880ST-11-0	-4.01231492563155	-4.26142012567031	-4.16061590531775	-3.61600403974468	-9	-3.90285145099788	-3.4763048575334	-4.01743787559647	-3.8499178349844	-4.11406292140598	-3.95795572169047	-3.38365999452477	-4.12919071496821	-3.89051439131794	-4.49784645058489	-5.23647670830446	-3.18609291269066	CRC
CCMD27463710ST-11-0	-3.76320844449045	-4.13850414350466	-4.55382836790567	-3.84023423176862	-9	-3.75868270456803	-3.33548480208699	-4.0619099470512	-3.76394565998915	-4.7193523190356	-3.92379860226976	-3.30567125825517	-4.10075781930923	-3.89050481361562	-4.38949622690169	-4.59364251184646	-3.18789451387901	CRC
CCMD35633353ST-11-0	-3.70184004923024	-4.24845935487056	-4.43572981192537	-3.8253036698081	-9	-3.61960272242466	-3.20162168080134	-4.18559446619877	-3.68176379627884	-4.63428792105069	-3.74445232016221	-3.22152242755814	-3.79234200295663	-4.07401488575585	-4.35656375315013	-4.66617935979113	-3.15388318424003	CRC
CCMD42956136ST-11-0	-3.58583470754106	-4.3730224167126	-4.437869205011	-3.28526906953305	-9	-3.80167324363478	-3.04905360112476	-4.56413854214893	-3.77384049422229	-4.0397040319557	-3.87031242838201	-3.06094574123876	-4.24703829545984	-3.70410865993927	-4.36235857750101	-5.40172714223286	-3.59532190495115	CRC
CCMD49461418ST-11-0	-3.8046134838264	-4.3147806943103	-4.99909238815651	-4.08720826527099	-9	-3.80057940862208	-3.15175062960149	-4.4289783641703	-3.68588828239334	-4.57103011740771	-3.7385324810947	-3.11982574812677	-5.04022288356414	-4.14871317607153	-4.79024313963594	-4.81719100503872	-3.31164247880531	CRC
CCMD52117727ST-11-0	-3.74116553615609	-4.55117938965294	-4.68230538699598	-4.10014498344355	-9	-3.83398731000204	-3.34590586129807	-4.06701167251075	-3.62568417865024	-3.98441471664561	-3.76986896312928	-3.34388262426111	-4.1236879609643	-4.03399877522817	-4.48297004266132	-4.9079923099505	-3.537894125926	CRC
CCMD52145360ST-11-0	-3.61660085493988	-4.10163381706578	-4.48751749643532	-3.86478616043914	-9	-3.66626111552155	-3.23639577280796	-4.23973611422857	-3.61000593248231	-4.31613972842692	-3.88675044584811	-3.19692886774583	-4.06884237983216	-4.20874986433894	-4.54525605680704	-4.4550395718716	-3.20376852009623	CRC
CCMD59583015ST-11-0	-3.49675322515007	-4.67592715274735	-4.9418879369043	-3.81197664291522	-9	-3.62791318708053	-3.09335324120866	-4.72672640417122	-3.57268222516342	-4.36448472512675	-3.73782097201107	-3.14564415385545	-4.32331260942171	-4.45441338932562	-4.289965005875	-4.76928994208257	-3.31132572750762	CRC
CCMD65222621ST-11-0	-3.65931579992937	-4.13025344180568	-4.80198374128623	-4.0972651153864	-9	-3.65180789460104	-3.22443484853484	-4.21077887020164	-3.60651260150643	-4.16474421054468	-3.74237050422974	-3.17276193989054	-3.8706354348119	-4.35839528987304	-4.45456923904097	-4.57612268126008	-3.16083757500023	CRC
CCMD65406197ST-11-0	-3.62721029773684	-4.43504944432222	-4.57869879327698	-3.6041420423362	-9	-3.75973453450522	-3.32436062700392	-4.1055271500489	-3.73244761923281	-3.96862433853805	-4.0245614916067	-3.28329233444364	-4.19388388115784	-3.8820456818992	-4.33521044733167	-4.31764859645667	-3.53444614158869	CRC
CCMD71242853ST-11-0	-3.55127551174595	-4.4773661082142	-4.88298725459147	-4.01982794390911	-9	-3.63418711689631	-3.19748528917635	-4.22484696087718	-3.58861537276186	-4.5155571791659	-3.73918539894481	-3.28119698376688	-4.02697762064646	-4.35668710834965	-4.49497541512455	-4.77258793860499	-3.35216731807049	CRC
CCMD71915439ST-11-0	-3.83905749072907	-3.94702717755784	-3.88864075482131	-3.58463344956807	-9	-3.89604607837464	-3.33499471461917	-4.36593652272361	-3.50343986513715	-4.53257046449714	-3.84680351203365	-3.25112385146763	-4.51828754236314	-3.99999045932169	-4.50114709945978	-4.49099193769542	-3.41060785898939	CRC
CCMD72690923ST-11-0	-3.92285598324678	-4.03992591777609	-4.58198602065781	-3.85376001871696	-9	-3.94050204304441	-3.24731118459853	-4.4142868979257	-3.80649606980718	-4.34688133891479	-3.85399259335285	-3.13101249284395	-4.1545516826393	-4.04504252970821	-4.66426528747969	-5.00142989881988	-3.07419251775556	CRC
CCMD76222476ST-11-0	-3.70911850495948	-4.4469338199017	-4.92933415738974	-4.1459290951119	-9	-3.81572004187987	-3.19595198575816	-4.2545817265766	-3.65723809751095	-4.00886387112861	-3.77261754750703	-3.10849376359212	-4.11808235674953	-4.05344390433594	-4.49869553515945	-5.28766620447495	-3.27199216778509	CRC
CCMD79349503ST-11-0	-3.48536092598461	-4.58614641950938	-4.88602957643921	-3.99051438853213	-9	-3.58409721025733	-3.25308363342195	-4.25490818590332	-3.54226585530511	-4.2261343547175	-3.78678217472514	-3.26578121785335	-4.35005323866822	-4.27522916861552	-4.32262115924464	-4.299318341797	-3.35358352943059	CRC
CCMD89306485ST-11-0	-3.67827580447095	-4.04516677177593	-4.91177853681068	-4.02043165402982	-9	-3.67590208178907	-3.27329536086463	-5.09380546503774	-3.7213385587345	-4.58434522506502	-3.62397321269096	-3.18405982681504	-4.28583964886391	-4.54316673381508	-4.78027134742511	-5.18955007002252	-3.16087531414082	CRC
CCMD92404903ST-11-0	-3.97100347273466	-4.59497309874217	-4.15191177058313	-3.7472498288292	-9	-3.74506181298122	-3.10426433401022	-4.22853073899817	-3.50485482945306	-3.96705275548856	-3.90515334400962	-3.10620828763123	-3.56120614034042	-3.82920821402808	-4.01490803635163	-5.19645106047534	-3.34714278789968	CRC
CCMD95431029ST-11-0	-3.6728453433827	-3.91268407759148	-4.63532345103067	-3.89008856839096	-9	-3.73869938299285	-3.25906995687704	-4.32446726121601	-3.56065539300776	-4.47122980078081	-3.86073654754129	-3.20508414355616	-4.01623749406889	-4.52006975440712	-4.76052514685345	-4.99324414715957	-3.22566189823852	CRC
CCMD95676152ST-11-0	-3.68251202009767	-4.00754822276233	-3.92323867586814	-3.42599811118912	-9	-3.61010661936453	-3.32612014735654	-4.15305692282891	-3.49813256129091	-4.21947739739866	-3.79877083854276	-3.17817085487447	-3.9847625110422	-4.30502565657117	-4.12087217324498	-4.6150379972013	-3.23080736220302	CRC
CCMD98531134ST-11-0	-3.68012556067913	-4.2115287404886	-4.71553406907781	-4.17937130576577	-9	-3.59254802992339	-3.23369834909047	-4.17049306877172	-3.55594966448991	-4.30143158988148	-3.90309750239361	-3.16704361138429	-4.12666115756763	-4.1001801832898	-4.15862483705408	-4.2943261266198	-3.25961441194585	CRC
DE-013	-4.00785549775101	-4.89634944704543	-4.6486181470366	-3.94492207025582	-6.89231528034416	-3.98288228189203	-3.38237145401464	-5.08241699133488	-3.59900742015373	-3.79486520863293	-3.86743980556512	-3.33493709445512	-4.26387831888558	-4.18027096742746	-4.59614274074524	-4.7193093512697	-3.61865744829099	CRC
DE-025	-3.58805167981695	-4.5398395581237	-4.84423734823042	-4.0599374918928	-6.27696651299852	-3.63088566485001	-3.24731432264809	-4.48688050706678	-3.61713708556283	-4.14457895616177	-3.81112246666527	-3.2369293231605	-4.29977879203123	-4.19092652831408	-4.49815481922517	-4.38773586346743	-3.24769412645156	CRC
DE-029	-3.61585670082907	-4.4986024405302	-4.7061910196414	-3.98028801433689	-9	-3.80643801136813	-3.281326795577	-4.31659250620806	-3.61489447809817	-4.3263295868033	-3.75134722312403	-3.21699093076832	-4.69500421684009	-4.38939401290851	-4.58615760118631	-4.69195945549213	-3.38797311053854	CRC
DE-031	-3.5661517346087	-4.57255886506495	-4.41805831977599	-3.82614681570417	-6.85910246079248	-3.83670256546484	-3.16787898324833	-4.16999320090989	-3.70137621996212	-3.80097915579586	-3.73614734907999	-3.19425453779013	-4.33046538311336	-4.00926432984022	-4.24927804614294	-4.57877796886984	-3.28708105194017	CRC
DE-034	-3.51478506103081	-5.01580240212645	-4.64152204655616	-3.94140366472691	-5.12788978239705	-3.64363852750296	-3.15392377149627	-4.29805085169431	-3.58040137448962	-4.11795247967559	-3.74020151387206	-3.17107084704827	-4.08346443183299	-4.34883074598686	-4.18779091413027	-4.79032202834087	-3.29219315532946	CRC
DE-037	-3.67537028626905	-4.23538496649162	-4.66146988789931	-3.96159556770398	-4.37099633986028	-3.73223884973016	-3.15334742748168	-4.24237986923925	-3.6700370767034	-4.71583851263688	-3.90852005984625	-3.1618551629076	-3.85908772843209	-4.18947000230439	-4.5901005949323	-4.7570286082895	-3.15107228677292	CRC
DE-038	-3.69799480020162	-4.10682255840204	-4.63807477700815	-3.82680991162567	-9	-3.79571088124702	-3.31407353856268	-4.1901221690951	-3.75894778446135	-4.80245968244103	-3.86474330281562	-3.28299059343548	-4.41046038886098	-3.78350782548188	-4.26550467804481	-4.68086642842955	-3.26548739560749	CRC
DE-039	-3.63953586241742	-3.9616301239302	-4.57909038517909	-3.90680853872868	-6.03218675462695	-3.67593734604999	-3.24964646301866	-4.28116562980781	-3.78596737752255	-5.14202075274638	-3.83763416514839	-3.16434112999172	-4.18103902816032	-3.90404542069316	-4.2019000325853	-5.01328040029514	-3.08517467876199	CRC
DE-044	-3.67626764758987	-4.43063498670191	-4.74562710030446	-4.11753028444236	-6.46450334084576	-3.79214663043284	-3.28255753044296	-4.49007254967927	-3.61910046229379	-4.02918010597762	-3.81471720375111	-3.28952467997828	-4.40621449310528	-4.12132398413648	-4.2334485018495	-4.62016973868279	-3.41122760218869	CRC
DE-045	-3.63154752688326	-4.31564731649675	-4.31246340085209	-3.83440285563487	-5.167386358312	-3.71987929802868	-3.34596334770638	-4.01366916262372	-3.61586727868362	-4.03138832002125	-3.83066661842936	-3.28529479654701	-3.99921204598002	-4.05207315955487	-4.16752958315371	-4.52982769709594	-3.3952438263372	CRC
DE-046	-3.59975953418149	-4.06010013713152	-4.65596651772266	-3.68701419568651	-4.81851370905761	-3.66646998423588	-3.28513371141763	-4.1766095341082	-3.59366228525928	-4.71208062794611	-3.86345815664596	-3.2329495652039	-3.92709454389819	-4.08806833919363	-4.25486761891844	-4.33930894213775	-3.30553695706912	CRC
DE-049	-3.58901401582716	-4.26780005252188	-4.47948045026992	-3.82369241131919	-6.83383640625217	-3.70354562806859	-3.21449988715825	-4.17587320668252	-3.59905203458632	-4.34791702690755	-3.73365844734491	-3.25710683787977	-4.12333892934898	-4.18102840909251	-4.33880443883441	-4.98998142344133	-3.35058919508209	CRC
DE-062	-3.82486091721383	-4.69296998717923	-4.912758603935	-3.98539015100764	-6.25024900212547	-3.9688889815825	-3.46376895929846	-4.50474588581159	-3.56634523171155	-3.79716152802985	-3.7999482121831	-3.2695811338046	-4.31287078159699	-3.6906282392422	-4.49387874815373	-5.59221582448683	-3.57439894502844	CRC
DE-079	-3.93518053295479	-4.33818615144939	-4.67482284064636	-3.96969135530768	-5.6588128661901	-4.02526888823817	-3.40422002512015	-4.3862300484859	-3.66917337379589	-3.87491704583887	-3.71271439729867	-3.24192572615419	-4.10243444159212	-3.86613535786742	-4.8199716896283	-5.15528529588288	-3.40578982529012	CRC
DE-080	-3.56162581799301	-4.39134252572577	-4.82853009501088	-3.82863127393351	-7.25590112336833	-3.7256786601831	-3.16152490636686	-4.55540916230884	-3.70850235245915	-4.44835341938489	-3.77733953450516	-3.02679130122945	-4.15281201984903	-4.34284301995023	-4.52037786720032	-4.59003940047181	-3.16787701440306	CRC
DE-081	-3.60008026571082	-4.70282515477719	-4.31567670173426	-3.78178472502233	-5.49768761446695	-3.71198945495511	-3.23167202341278	-4.34500604284105	-3.64202896800414	-4.07133740961373	-3.82744576946815	-3.23755852525313	-4.04902337597874	-4.15123414532702	-4.17700296940905	-4.71708037989114	-3.40397611140734	CRC
DE-082	-3.57876273246797	-4.50822234623437	-4.77502569628463	-4.07410886143134	-4.645856972404	-3.64245657921313	-3.3082948591148	-4.17933865299984	-3.68346011750314	-3.86154256923556	-3.77733633424718	-3.26587653261081	-3.95644168286228	-4.18541704082196	-4.35834459492626	-4.49880981759873	-3.23700277056164	CRC
DE-083	-4.03071138769079	-4.52102711887582	-4.52017296698983	-4.04826858619249	-3.9775262632894	-4.07634012176209	-3.39401020542794	-4.50165127065481	-3.70976378075877	-4.16822007479898	-3.97440003219962	-3.32159271258184	-4.27383358083152	-4.15655929979538	-4.65251768090525	-5.59018700838372	-3.50752737401541	CRC
DE-084	-3.72769882496598	-4.70158948629626	-4.28737490852711	-3.82355846441913	-4.87287251520257	-3.89353016863157	-3.42854325700616	-4.34488902297015	-3.73774013151084	-3.91451398967317	-3.87673095167701	-3.42040616294947	-3.95663982705606	-3.88359259458645	-4.26466552180756	-5.32432718657978	-3.62150035159509	CRC
DE-085	-3.59036936333711	-4.31783312885039	-4.76449301639514	-4.05662323923803	-5.25104333193569	-3.73201402075425	-3.26053331691374	-4.14767194695428	-3.56414464998903	-3.94700405621598	-3.70810642030632	-3.19743629147356	-4.04168368873771	-4.22883478906652	-4.69816739468756	-4.57813194277382	-3.29438257172994	CRC
DE-086	-3.62702105939967	-4.50850034516958	-4.13312044481521	-3.69135484349017	-4.2572018379702	-3.66702298274674	-3.2903516511403	-4.00870790285543	-3.57862183716881	-3.99395951597071	-3.79407594947192	-3.24411904900913	-3.76047586701742	-3.9646006847585	-4.21895506284468	-4.51468647445766	-3.33350729162656	CRC
DE-087	-3.78971062797195	-4.33569139620817	-4.46453629705249	-4.03882334766986	-6.90920602473295	-3.92434013344377	-3.41097602670372	-4.27345992316658	-3.7108464877992	-3.97115440982791	-3.81100389458707	-3.32754284274645	-4.2078809730262	-3.94486286581071	-4.41338537294743	-4.54085020461767	-3.44174515621669	CRC
DE-088	-3.64437289083414	-4.2916737226734	-4.51423448057523	-3.86122410613779	-5.65701113151402	-3.78740451678282	-3.31519525611043	-3.91242728827487	-3.60476171239295	-3.93846090049765	-3.7485670306348	-3.23326006791778	-4.0357300833003	-3.70046405834671	-4.23893159217126	-4.61408563629494	-3.33095847687254	CRC
DE-089	-3.77185257301288	-4.2517666498772	-4.91524667012227	-4.23058618839699	-9	-3.80923186053074	-3.20819047751435	-4.55334382243417	-3.70155817673066	-3.5927241277263	-3.83672173920488	-3.12331404366635	-4.3186480037695	-4.11241883034798	-4.6264933710749	-4.76783515680299	-3.35572787274168	CRC
DE-09	-3.57893293482255	-4.16417742497931	-4.54219270193889	-3.89936693823287	-4.92239956411729	-3.66642434811685	-3.25010728905265	-4.07600770279518	-3.60288545600149	-3.94019595445954	-3.7352391386105	-3.21581079461904	-3.943673450915	-4.03828215945474	-4.19642302780626	-4.56968706275113	-3.30617284083511	CRC
DE-090	-3.6307252339905	-4.25345907443763	-4.86091632893248	-4.05734554955479	-9	-3.71077932090549	-3.29363619238728	-4.42288577347726	-3.66898406073548	-4.36494918713111	-3.74601441247259	-3.21132336331052	-5.07196525266158	-4.11033731707109	-4.32778917221098	-4.56139801637232	-3.22248690730946	CRC
DE-091	-3.64388541726636	-4.16242653488171	-4.63281262357131	-3.93021494004524	-4.75205127074275	-3.71022246513743	-3.2056945541697	-4.15922566730565	-3.74489700256238	-4.64527752462649	-3.89037868281266	-3.20316350421702	-3.97003284664084	-4.1524747298654	-4.4107513034927	-4.64265531287778	-3.18466935184738	CRC
DE-092	-3.55652703338524	-4.37667423159659	-4.75011942490564	-3.71953950571204	-5.23375971511079	-3.71312038952249	-3.22940935303946	-4.24279217694734	-3.58855266371432	-4.20521523911177	-3.83640116394071	-3.24792849290875	-4.05871471597023	-4.12975095446759	-4.26536685368457	-4.49239573380689	-3.36520644488194	CRC
DE-093	-3.59720228993469	-4.37439670135114	-4.87935352687473	-3.76222093041793	-6.05620385807035	-3.77666930684485	-3.26533940134867	-4.45353144013113	-3.79534932872736	-3.64861535089714	-3.81233240411504	-3.22694603900479	-4.20026791088658	-4.27532395396322	-4.54861809074361	-4.93501225155242	-3.29942347536085	CRC
DE-094	-3.52994619339712	-4.45163829808264	-4.66302143951764	-4.07021317258859	-4.92575421979623	-3.58748195550313	-3.21696379054021	-4.14776559701922	-3.4889588167034	-3.911489840732	-3.6839667669551	-3.14494021581025	-3.94086115160442	-3.93764917362234	-4.33619634980659	-4.24990777655649	-3.27022632865726	CRC
DE-095	-3.59078637865828	-4.91538747676941	-5.06238592886183	-3.90641227104709	-5.20044924774699	-3.88664982093144	-3.16547100672634	-4.57722487457724	-3.4900453426362	-3.79722013723308	-3.75593434508921	-3.17312734733409	-4.14225177434319	-3.80129799113187	-3.8902657082228	-4.99596195758935	-3.57046572918684	CRC
DE-096	-3.80371764879696	-4.51883815599648	-4.73961075956922	-4.14624614768585	-4.64524636359765	-3.70439202235331	-3.38237613887277	-4.06839792154189	-3.66608207305465	-4.25535571049356	-3.8671617150734	-3.29056975286993	-3.96795004762146	-4.02053622266172	-4.72556958839797	-4.21824003834153	-3.38702869563301	CRC
DE-097	-3.60839421044597	-4.47868112231384	-4.72438249953066	-3.7410961032607	-5.31096210435942	-3.6450171158911	-3.1287749545614	-4.35712683126585	-3.62538983452743	-4.2102436703707	-3.82484915299022	-3.14008031558934	-3.96844126200621	-4.15518259370999	-4.46556459463605	-4.68552548596411	-3.26357481132886	CRC
DE-098	-3.79524727485805	-3.97584039303607	-4.33383818349123	-3.81701502437158	-7.01068324989961	-3.80004803005911	-3.41853907047463	-4.20886551174223	-3.76223075647695	-4.2512129207117	-3.85203683187412	-3.18457235491052	-4.07507314579536	-3.78602636153954	-4.41684262830339	-4.97519718712417	-3.20253855915182	CRC
DE-099	-3.64948822050641	-4.06470462024786	-4.58667645315811	-4.0065519506355	-4.28665564638197	-3.74159596995836	-3.26015892127258	-4.08760445599495	-3.56666503910735	-4.07510979517195	-3.63750578132118	-3.22781696686227	-3.9347668981839	-3.97139564430457	-4.4510964380546	-5.16326205527789	-3.26731600327695	CRC
DE-100	-3.66225222954043	-4.17254703163911	-4.8761240734646	-3.98451834847074	-5.32909948695299	-3.80796573714293	-3.29873888330699	-4.20123570388378	-3.61097379609831	-4.06687060446856	-3.87941523030483	-3.24955872155996	-4.14520176793958	-4.27145653739529	-4.33025482740993	-4.38364990355508	-3.40092953465623	CRC
DE-101	-3.66715888038279	-4.20720573460889	-4.6088743595066	-3.87354061913961	-6.25383615220714	-3.77359897100342	-3.19005326991463	-4.38020935823683	-3.72566819604086	-4.58043159409615	-3.93861001303263	-3.18537422653981	-4.32025319462735	-4.32125804184681	-4.79542235904877	-4.90647671896421	-3.3329890381607	CRC
DE-102	-3.79646753441071	-4.24747481036261	-4.36880893729453	-3.85614810549063	-9	-3.83842198411048	-3.37902613087866	-4.20214031788179	-3.65085951758366	-4.14606458856513	-3.88034142756373	-3.31385728382508	-4.49313412122513	-4.01759242063364	-4.42307152225435	-5.04076833150024	-3.44292490140295	CRC
FR-125	-3.68802082248135	-4.26729322055435	-4.72490651715306	-3.71875301663986	-5.42490341270232	-3.7479104153475	-3.32532141988017	-4.26435893462064	-3.78276839098949	-4.49448280651628	-3.96691131947871	-3.33731959293151	-4.17592917689756	-4.00573349957808	-4.44851007409979	-4.45980954491215	-3.34452540534728	CRC
FR-170	-3.50486031284525	-4.84255039958159	-4.75130415269853	-3.90774645599071	-6.75676346205892	-3.70287534666974	-3.2465354807419	-4.46454610012301	-3.68320254181735	-4.43854679014231	-3.84468611758742	-3.2636632671317	-4.09257386293085	-4.03303047548832	-4.42109342769707	-4.60811466231469	-3.3487510691954	CRC
FR-200	-4.05016762737006	-4.70403451882416	-4.4528786546462	-4.01069586017709	-4.73985941675849	-3.79835774271918	-3.64783355831969	-4.22804641542343	-3.95239467160224	-3.96759590550439	-3.9032908394437	-3.69090238258799	-4.08890136917633	-3.79506582638995	-4.36700821890742	-4.39267433598081	-3.4707480715622	CRC
FR-202	-3.67791216133675	-4.5597110640178	-5.36269652847717	-3.90314514368656	-9	-3.85369236475378	-3.34324962927828	-4.28749047010432	-3.69485630000819	-3.79912614409181	-3.85703304773097	-3.31760128305157	-4.09835971606094	-3.82813427719502	-4.45987548585262	-4.98854334171772	-3.54388155491604	CRC
FR-208	-4.00854438989347	-7.01971490851694	-4.36763192446116	-3.97723151844404	-5.1432101073054	-4.04613033738059	-3.57068214278246	-5.75533253106773	-3.6642407263487	-3.7411107669781	-3.85815898660124	-3.4638520586598	-4.4584936219239	-3.57640968531199	-4.34962986054851	-4.37080535772702	-4.02798240132598	CRC
FR-223	-3.90558172890284	-4.02657636140923	-3.9473852244037	-3.6709445109268	-4.32033775663408	-3.79228080393003	-3.3762605948442	-3.83442622151777	-3.763737485106	-3.79807752309914	-3.90561548332978	-3.34119328454905	-3.73074515590573	-3.93897247803836	-4.23286834966792	-5.51253348891765	-3.27098189048732	CRC
